"","value","Year","IZCode","IZName","CPP","Indicator","Type"
"250",4.96,"2011/12-2013/14","S02001929","Carntyne West and Haghill","Glasgow City","Attainment","Raw"
"251",5.58,"2011/12-2013/14","S02001925","Sighthill","Glasgow City","Attainment","Raw"
"252",4.71,"2011/12-2013/14","S02001924","Cowlairs and Port Dundas","Glasgow City","Attainment","Raw"
"253",5.28,"2011/12-2013/14","S02001926","Roystonhill, Blochairn, and Provanmill","Glasgow City","Attainment","Raw"
"254",5.46,"2011/12-2013/14","S02001589","Slateford and Chesser","Edinburgh, City of","Attainment","Raw"
"255",5.39,"2011/12-2013/14","S02001588","Longstone and Saughton","Edinburgh, City of","Attainment","Raw"
"256",5.13,"2011/12-2013/14","S02001591","Gorgie East","Edinburgh, City of","Attainment","Raw"
"257",5.16,"2011/12-2013/14","S02001590","Gorgie West","Edinburgh, City of","Attainment","Raw"
"258",5.26,"2011/12-2013/14","S02001585","Parkhead and Sighthill","Edinburgh, City of","Attainment","Raw"
"259",4.9,"2011/12-2013/14","S02001584","Murrayburn and Wester Hailes North","Edinburgh, City of","Attainment","Raw"
"260",4.73,"2011/12-2013/14","S02001587","Stenhouse and Saughton Mains","Edinburgh, City of","Attainment","Raw"
"261",4.79,"2011/12-2013/14","S02001586","Broomhouse and Bankhead","Edinburgh, City of","Attainment","Raw"
"262",5.33,"2011/12-2013/14","S02001597","Oxgangs","Edinburgh, City of","Attainment","Raw"
"263",5.39,"2011/12-2013/14","S02001596","Colinton Mains and Firrhill","Edinburgh, City of","Attainment","Raw"
"264",6.2,"2011/12-2013/14","S02001599","Fairmilehead","Edinburgh, City of","Attainment","Raw"
"265",6.16,"2011/12-2013/14","S02001598","Comiston and Swanston","Edinburgh, City of","Attainment","Raw"
"266",6.16,"2011/12-2013/14","S02001593","Craiglockhart","Edinburgh, City of","Attainment","Raw"
"267",6.05,"2011/12-2013/14","S02001592","Shandon","Edinburgh, City of","Attainment","Raw"
"268",6.38,"2011/12-2013/14","S02001595","Greenbank and The Braids","Edinburgh, City of","Attainment","Raw"
"269",6.1,"2011/12-2013/14","S02001594","Morningside and Craighouse","Edinburgh, City of","Attainment","Raw"
