"","Year","CA","Value","CPP","FG","Indicator","Type"
"196","2014/15","S12000010",90.1522842639594,"East Lothian",2,"Healthy Birthweight","Raw"
"197","2014/15","S12000011",88.05256869773,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"198","2014/15","S12000013",87.4371859296482,"Eilean Siar",4,"Healthy Birthweight","Raw"
"199","2014/15","S12000014",89.7513644633111,"Falkirk",3,"Healthy Birthweight","Raw"
"200","2014/15","S12000017",88.559708295351,"Highland",2,"Healthy Birthweight","Raw"
"201","2014/15","S12000018",90.1875901875902,"Inverclyde",4,"Healthy Birthweight","Raw"
"202","2014/15","S12000019",89.7177419354839,"Midlothian",2,"Healthy Birthweight","Raw"
"203","2014/15","S12000020",90.0237529691211,"Moray",2,"Healthy Birthweight","Raw"
"204","2014/15","S12000021",89.2568659127625,"North Ayrshire",4,"Healthy Birthweight","Raw"
"205","2014/15","S12000023",91.1764705882353,"Orkney Islands",1,"Healthy Birthweight","Raw"
"206","2014/15","S12000026",89.7522522522522,"Scottish Borders",2,"Healthy Birthweight","Raw"
"207","2014/15","S12000027",88.4297520661157,"Shetland Islands",1,"Healthy Birthweight","Raw"
"208","2014/15","S12000028",89.4995093228655,"South Ayrshire",3,"Healthy Birthweight","Raw"
"209","2014/15","S12000029",89.663534404365,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"210","2014/15","S12000030",88.3507853403141,"Stirling",2,"Healthy Birthweight","Raw"
"211","2014/15","S12000033",89.5466466841514,"Aberdeen City",1,"Healthy Birthweight","Raw"
"212","2014/15","S12000034",89.9604743083004,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"213","2014/15","S12000035",87.2146118721461,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"214","2014/15","S12000036",90.266692622153,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"215","2014/15","S12000038",89.3995098039216,"Renfrewshire",3,"Healthy Birthweight","Raw"
"216","2014/15","S12000039",86.7614879649891,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"217","2014/15","S12000040",90.1940220241217,"West Lothian",3,"Healthy Birthweight","Raw"
"218","2014/15","S12000041",90.0547445255474,"Angus",2,"Healthy Birthweight","Raw"
"219","2014/15","S12000042",88.7736424649176,"Dundee City",4,"Healthy Birthweight","Raw"
"220","2014/15","S12000045",87.9690949227373,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"221","2014/15","S12000047",88.280185336604,"Fife",3,"Healthy Birthweight","Raw"
"222","2014/15","S12000048",88.2001493651979,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"223","2014/15","S12000049",89.2994721072906,"Glasgow City",4,"Healthy Birthweight","Raw"
"224","2014/15","S12000050",88.6203989884799,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"225","2015/16","S12000005",90.1701323251418,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"226","2015/16","S12000006",89.6607431340872,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"227","2015/16","S12000008",89.9274778404512,"East Ayrshire",4,"Healthy Birthweight","Raw"
"228","2015/16","S12000010",89.3069306930693,"East Lothian",2,"Healthy Birthweight","Raw"
"229","2015/16","S12000011",88.6390532544379,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"230","2015/16","S12000013",89.041095890411,"Eilean Siar",4,"Healthy Birthweight","Raw"
"231","2015/16","S12000014",90.1290322580645,"Falkirk",3,"Healthy Birthweight","Raw"
"232","2015/16","S12000017",89.5734597156398,"Highland",2,"Healthy Birthweight","Raw"
"233","2015/16","S12000018",88.2265275707899,"Inverclyde",4,"Healthy Birthweight","Raw"
"234","2015/16","S12000019",89.9521531100478,"Midlothian",2,"Healthy Birthweight","Raw"
"235","2015/16","S12000020",87.6756756756757,"Moray",2,"Healthy Birthweight","Raw"
"236","2015/16","S12000021",89.0082644628099,"North Ayrshire",4,"Healthy Birthweight","Raw"
"237","2015/16","S12000023",89.8936170212766,"Orkney Islands",1,"Healthy Birthweight","Raw"
"238","2015/16","S12000026",90.5982905982906,"Scottish Borders",2,"Healthy Birthweight","Raw"
"239","2015/16","S12000027",88.7323943661972,"Shetland Islands",1,"Healthy Birthweight","Raw"
"240","2015/16","S12000028",88.4937238493724,"South Ayrshire",3,"Healthy Birthweight","Raw"
"241","2015/16","S12000029",89.3651832460733,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"242","2015/16","S12000030",89.1521197007481,"Stirling",2,"Healthy Birthweight","Raw"
"243","2015/16","S12000033",90.0677200902935,"Aberdeen City",1,"Healthy Birthweight","Raw"
"244","2015/16","S12000034",91.0789172703012,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"245","2015/16","S12000035",89.2575039494471,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"246","2015/16","S12000036",90.3471138845554,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"247","2015/16","S12000038",88.4480746791132,"Renfrewshire",3,"Healthy Birthweight","Raw"
"248","2015/16","S12000039",87.8547105561861,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"249","2015/16","S12000040",89.5212765957447,"West Lothian",3,"Healthy Birthweight","Raw"
"250","2015/16","S12000041",90.4761904761905,"Angus",2,"Healthy Birthweight","Raw"
"251","2015/16","S12000042",90.1540522438044,"Dundee City",4,"Healthy Birthweight","Raw"
"252","2015/16","S12000045",88.9004149377593,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"253","2015/16","S12000047",88.3116883116883,"Fife",3,"Healthy Birthweight","Raw"
"254","2015/16","S12000048",89.048760991207,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"255","2015/16","S12000049",88.9954270541378,"Glasgow City",4,"Healthy Birthweight","Raw"
"256","2015/16","S12000050",90.4066437571592,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"257","2016/17","S12000005",90.3162055335968,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"258","2016/17","S12000006",88.1720430107527,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"259","2016/17","S12000008",90.5754795663052,"East Ayrshire",4,"Healthy Birthweight","Raw"
"260","2016/17","S12000010",88.911495422177,"East Lothian",2,"Healthy Birthweight","Raw"
"261","2016/17","S12000011",89.5306859205776,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"262","2016/17","S12000013",90.0900900900901,"Eilean Siar",4,"Healthy Birthweight","Raw"
"263","2016/17","S12000014",90.8190224570674,"Falkirk",3,"Healthy Birthweight","Raw"
"264","2016/17","S12000017",89.5588235294118,"Highland",2,"Healthy Birthweight","Raw"
"265","2016/17","S12000018",92.412746585736,"Inverclyde",4,"Healthy Birthweight","Raw"
"266","2016/17","S12000019",88.7049659201558,"Midlothian",2,"Healthy Birthweight","Raw"
"267","2016/17","S12000020",88.8762769580023,"Moray",2,"Healthy Birthweight","Raw"
"268","2016/17","S12000021",90.2777777777778,"North Ayrshire",4,"Healthy Birthweight","Raw"
"269","2016/17","S12000023",92.0454545454545,"Orkney Islands",1,"Healthy Birthweight","Raw"
"270","2016/17","S12000026",91.7620137299771,"Scottish Borders",2,"Healthy Birthweight","Raw"
"271","2016/17","S12000027",87.6984126984127,"Shetland Islands",1,"Healthy Birthweight","Raw"
"272","2016/17","S12000028",88.7473460721868,"South Ayrshire",3,"Healthy Birthweight","Raw"
"273","2016/17","S12000029",88.7404580152672,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"274","2016/17","S12000030",90.2777777777778,"Stirling",2,"Healthy Birthweight","Raw"
"275","2016/17","S12000033",91.0130074891604,"Aberdeen City",1,"Healthy Birthweight","Raw"
"276","2016/17","S12000034",90.4724409448819,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"277","2016/17","S12000035",88.0597014925373,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"278","2016/17","S12000036",89.9361022364217,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"279","2016/17","S12000038",87.1841155234657,"Renfrewshire",3,"Healthy Birthweight","Raw"
"280","2016/17","S12000039",89.3854748603352,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"281","2016/17","S12000040",87.9255319148936,"West Lothian",3,"Healthy Birthweight","Raw"
"282","2016/17","S12000041",88.7966804979253,"Angus",2,"Healthy Birthweight","Raw"
"283","2016/17","S12000042",91.3872452333991,"Dundee City",4,"Healthy Birthweight","Raw"
"284","2016/17","S12000045",86.1228813559322,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"285","2016/17","S12000047",87.4929258630447,"Fife",3,"Healthy Birthweight","Raw"
"286","2016/17","S12000048",88.9580093312597,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"287","2016/17","S12000049",87.3287671232877,"Glasgow City",4,"Healthy Birthweight","Raw"
"288","2016/17","S12000050",88.1335718545021,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"289","2017/18","S12000005",89.2787524366472,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"290","2017/18","S12000006",90.8646003262643,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"291","2017/18","S12000008",90.9090909090909,"East Ayrshire",4,"Healthy Birthweight","Raw"
"292","2017/18","S12000010",87.9955947136564,"East Lothian",2,"Healthy Birthweight","Raw"
