"","CPP","Year","value","Indicator","Type"
"185","North Ayrshire",2017,51764,"Out of Work Benefits","Raw"
"186","North Ayrshire",2018,51934,"Out of Work Benefits","Raw"
"187","North Ayrshire",2019,52291,"Out of Work Benefits","Raw"
"188","North Ayrshire",2020,56884,"Out of Work Benefits","Raw"
"189","North Ayrshire",2021,56995,"Out of Work Benefits","Raw"
"190","North Lanarkshire",2013,112110,"Out of Work Benefits","Raw"
"191","North Lanarkshire",2014,110461,"Out of Work Benefits","Raw"
"192","North Lanarkshire",2015,109067,"Out of Work Benefits","Raw"
"193","North Lanarkshire",2016,108889,"Out of Work Benefits","Raw"
"194","North Lanarkshire",2017,107886,"Out of Work Benefits","Raw"
"195","North Lanarkshire",2018,106604,"Out of Work Benefits","Raw"
"196","North Lanarkshire",2019,108703,"Out of Work Benefits","Raw"
"197","North Lanarkshire",2020,121724,"Out of Work Benefits","Raw"
"198","North Lanarkshire",2021,121288,"Out of Work Benefits","Raw"
"199","Orkney Islands",2013,6402,"Out of Work Benefits","Raw"
"200","Orkney Islands",2014,6418,"Out of Work Benefits","Raw"
"201","Orkney Islands",2015,6421,"Out of Work Benefits","Raw"
"202","Orkney Islands",2016,6542,"Out of Work Benefits","Raw"
"203","Orkney Islands",2017,6577,"Out of Work Benefits","Raw"
"204","Orkney Islands",2018,6635,"Out of Work Benefits","Raw"
"205","Orkney Islands",2019,6659,"Out of Work Benefits","Raw"
"206","Orkney Islands",2020,7096,"Out of Work Benefits","Raw"
"207","Orkney Islands",2021,7126,"Out of Work Benefits","Raw"
"208","Perth and Kinross",2013,47732,"Out of Work Benefits","Raw"
"209","Perth and Kinross",2014,47458,"Out of Work Benefits","Raw"
"210","Perth and Kinross",2015,47405,"Out of Work Benefits","Raw"
"211","Perth and Kinross",2016,47512,"Out of Work Benefits","Raw"
"212","Perth and Kinross",2017,47605,"Out of Work Benefits","Raw"
"213","Perth and Kinross",2018,47555,"Out of Work Benefits","Raw"
"214","Perth and Kinross",2019,48173,"Out of Work Benefits","Raw"
"215","Perth and Kinross",2020,52916,"Out of Work Benefits","Raw"
"216","Perth and Kinross",2021,53320,"Out of Work Benefits","Raw"
"217","Renfrewshire",2013,59461,"Out of Work Benefits","Raw"
"218","Renfrewshire",2014,58828,"Out of Work Benefits","Raw"
"219","Renfrewshire",2015,57957,"Out of Work Benefits","Raw"
"220","Renfrewshire",2016,57742,"Out of Work Benefits","Raw"
"221","Renfrewshire",2017,57453,"Out of Work Benefits","Raw"
"222","Renfrewshire",2018,56821,"Out of Work Benefits","Raw"
"223","Renfrewshire",2019,56672,"Out of Work Benefits","Raw"
