"","FinancialYear","CA","AllLiveBirths","AppropriateWeightCount","AppropriateWeightProportion"
"234","2015/16","S12000019",1045,940,89.9521531100478
"235","2015/16","S12000020",925,811,87.6756756756757
"236","2015/16","S12000021",1210,1077,89.0082644628099
"237","2015/16","S12000023",188,169,89.8936170212766
"238","2015/16","S12000026",936,848,90.5982905982906
"239","2015/16","S12000027",213,189,88.7323943661972
"240","2015/16","S12000028",956,846,88.4937238493724
"241","2015/16","S12000029",3056,2731,89.3651832460733
"242","2015/16","S12000030",802,715,89.1521197007481
"243","2015/16","S12000033",2658,2394,90.0677200902935
"244","2015/16","S12000034",2623,2389,91.0789172703012
"245","2015/16","S12000035",633,565,89.2575039494471
"246","2015/16","S12000036",5128,4633,90.3471138845554
"247","2015/16","S12000038",1714,1516,88.4480746791132
"248","2015/16","S12000039",881,774,87.8547105561861
"249","2015/16","S12000040",1880,1683,89.5212765957447
"250","2015/16","S12000041",1029,931,90.4761904761905
"251","2015/16","S12000042",1493,1346,90.1540522438044
"252","2015/16","S12000045",964,857,88.9004149377593
"253","2015/16","S12000047",3619,3196,88.3116883116883
"254","2015/16","S12000048",1251,1114,89.048760991207
"255","2015/16","S12000049",6779,6033,88.9954270541378
"256","2015/16","S12000050",3492,3157,90.4066437571592
"257","2016/17","S12000005",506,457,90.3162055335968
"258","2016/17","S12000006",1209,1066,88.1720430107527
"259","2016/17","S12000008",1199,1086,90.5754795663052
"260","2016/17","S12000010",983,874,88.911495422177
"261","2016/17","S12000011",831,744,89.5306859205776
"262","2016/17","S12000013",222,200,90.0900900900901
"263","2016/17","S12000014",1514,1375,90.8190224570674
"264","2016/17","S12000017",2040,1827,89.5588235294118
"265","2016/17","S12000018",659,609,92.412746585736
"266","2016/17","S12000019",1027,911,88.7049659201558
"267","2016/17","S12000020",881,783,88.8762769580023
"268","2016/17","S12000021",1152,1040,90.2777777777778
"269","2016/17","S12000023",176,162,92.0454545454545
"270","2016/17","S12000026",874,802,91.7620137299771
"271","2016/17","S12000027",252,221,87.6984126984127
"272","2016/17","S12000028",942,836,88.7473460721868
"273","2016/17","S12000029",3144,2790,88.7404580152672
"274","2016/17","S12000030",792,715,90.2777777777778
"275","2016/17","S12000033",2537,2309,91.0130074891604
"276","2016/17","S12000034",2540,2298,90.4724409448819
"277","2016/17","S12000035",670,590,88.0597014925373
"278","2016/17","S12000036",5008,4504,89.9361022364217
"279","2016/17","S12000038",1662,1449,87.1841155234657
"280","2016/17","S12000039",895,800,89.3854748603352
"281","2016/17","S12000040",1880,1653,87.9255319148936
"282","2016/17","S12000041",964,856,88.7966804979253
"283","2016/17","S12000042",1521,1390,91.3872452333991
"284","2016/17","S12000045",944,813,86.1228813559322
"285","2016/17","S12000047",3534,3092,87.4929258630447
"286","2016/17","S12000048",1286,1144,88.9580093312597
"287","2016/17","S12000049",6716,5865,87.3287671232877
"288","2016/17","S12000050",3354,2956,88.1335718545021
"289","2017/18","S12000005",513,458,89.2787524366472
"290","2017/18","S12000006",1226,1114,90.8646003262643
"291","2017/18","S12000008",1133,1030,90.9090909090909
"292","2017/18","S12000010",908,799,87.9955947136564
"293","2017/18","S12000011",832,727,87.3798076923077
"294","2017/18","S12000013",191,168,87.9581151832461
"295","2017/18","S12000014",1455,1307,89.8281786941581
"296","2017/18","S12000017",1981,1780,89.8536092882383
"297","2017/18","S12000018",658,574,87.2340425531915
"298","2017/18","S12000019",1034,922,89.1682785299807
"299","2017/18","S12000020",793,724,91.2988650693569
"300","2017/18","S12000021",1169,1051,89.9059024807528
"301","2017/18","S12000023",162,140,86.4197530864197
"302","2017/18","S12000026",908,812,89.4273127753304
"303","2017/18","S12000027",205,171,83.4146341463415
"304","2017/18","S12000028",904,804,88.9380530973451
"305","2017/18","S12000029",3059,2701,88.2968290290945
"306","2017/18","S12000030",756,688,91.005291005291
"307","2017/18","S12000033",2467,2229,90.3526550466153
"308","2017/18","S12000034",2442,2220,90.9090909090909
"309","2017/18","S12000035",596,473,79.3624161073825
"310","2017/18","S12000036",4832,4385,90.7491721854305
"311","2017/18","S12000038",1739,1495,85.9689476710753
"312","2017/18","S12000039",881,780,88.5357548240636
"313","2017/18","S12000040",1829,1608,87.9168944778568
"314","2017/18","S12000041",974,868,89.1170431211499
"315","2017/18","S12000042",1418,1267,89.3511988716502
"316","2017/18","S12000045",961,837,87.0967741935484
"317","2017/18","S12000047",3348,2999,89.5758661887694
"318","2017/18","S12000048",1153,1031,89.4189071986123
"319","2017/18","S12000049",6427,5594,87.0390539909756
"320","2017/18","S12000050",3440,3084,89.6511627906977
"321","2018/19","S12000005",417,383,91.8465227817746
"322","2018/19","S12000006",1119,1026,91.6890080428954
"323","2018/19","S12000008",1098,992,90.3460837887067
"324","2018/19","S12000010",955,855,89.5287958115183
"325","2018/19","S12000011",836,749,89.5933014354067
"326","2018/19","S12000013",199,177,88.9447236180904
"327","2018/19","S12000014",1491,1360,91.2139503688799
"328","2018/19","S12000017",1884,1671,88.6942675159236
"329","2018/19","S12000018",640,576,90
"330","2018/19","S12000019",1036,931,89.8648648648649
"331","2018/19","S12000020",796,711,89.321608040201
"332","2018/19","S12000021",1066,970,90.9943714821764
"333","2018/19","S12000023",174,149,85.632183908046
"334","2018/19","S12000026",881,797,90.4653802497162
"335","2018/19","S12000027",197,176,89.3401015228426
"336","2018/19","S12000028",855,783,91.5789473684211
"337","2018/19","S12000029",2988,2666,89.2235609103079
"338","2018/19","S12000030",736,668,90.7608695652174
"339","2018/19","S12000033",2459,2224,90.4432696217975
"340","2018/19","S12000034",2358,2118,89.8218829516539
"341","2018/19","S12000035",598,543,90.8026755852843
"342","2018/19","S12000036",4671,4231,90.5801755512738
"343","2018/19","S12000038",1628,1472,90.4176904176904
"344","2018/19","S12000039",855,772,90.2923976608187
"345","2018/19","S12000040",1737,1530,88.0829015544041
"346","2018/19","S12000041",915,826,90.2732240437159
